Original path,Portfolio filename,Review basis,Notes
2D Unsteady Diffusion with Heat source:sink/Obed Armando MAE 290B Final Project.pdf,2D_Diffusion_Numerical_Methods_Report.pdf,Document title/content,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/ADI.m,ADI_Diffusion_Solver.m,Code or archive contents,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/ICone.m,Sinusoidal_Initial_Temperature_Field.m,Code or archive contents,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/Main_Script_290BProj.mlx,Diffusion_Simulation_and_Error_Comparison.mlx,Code or archive contents,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/Q.m,Time_Dependent_Heat_Source_Sink.m,Code or archive contents,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/SourceSink.m,ADI_Source_Sink_Time_Steps.m,Code or archive contents,
2D Unsteady Diffusion with Heat source:sink/Obed Campos MAE290B Project Scripts/TomAlg.m,Thomas_Tridiagonal_Solver.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Arudion_Pressure_Reader.m,Four_Channel_Pressure_Data_Analysis.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Paper.pdf,Multichamber_Pulsating_Flow_Device_Publication.pdf,Document title/content,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Plotting_Theory_Dim_Mag_CS_Paper.m,Pulsatile_Flow_Fourier_Model_and_Paper_Figures.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/PumpData/PumpData-DRACO.ino,Pump_Signal_Data_Logger_DRACO.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/PumpData/PumpData.ino,Pump_Signal_Data_Logger.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Quasi_Steady_Shear_Stress_V2.m,Quasi_Steady_Flow_and_Wall_Shear_Model_v2.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Arduino Code/PHC/PHC.ino,Dual_Channel_Pressure_Logger.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/CaliPS.m,Pressure_Sensor_Calibration_Windowed_Samples.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/HISTO.mlx,All_Pressure_Sensor_Histograms.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/HistoPs.mlx,Single_Pressure_Sensor_Histogram_Fit.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/MaxMinPs.mlx,Pressure_Sensor_ADC_Range_Analysis.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/MeasuredGaugePressure.mlx,Hydrostatic_Pressure_Calibration_Workflow.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/P.m,Pressure_Time_Series_Plot.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PHmat.mlx,Atmospheric_Pressure_Sensor_Check.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PressureSingleFile.mlx,Single_Run_Pressure_and_Voltage_Analysis.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PumpStuff.mlx,Pump_Position_and_Flow_Signal_Plots.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/STPS.m,Pressure_Data_Sampling_Statistics.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/calibrationPa.mlx,Pressure_Sensor_Calibration_All_Samples.mlx,Code or archive contents,
APS DFD 2023/APS DFD 2023 Obed Campos.pptx,APS_DFD_2023_Pulsatile_Perfusion_Chamber.pptx,Document title/content,
APS DFD 2024/Obed Campos DFD 2024.pptx,APS_DFD_2024_Time_SLIP_Spinal_Canal_Drift.pptx,Document title/content,
Abdominal Aneurysm Analysis/Ansys Fluent.pdf,Aneurysm_ANSYS_Fluent_Flow_Model_Comparison.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/036-039_NT010317_660.jpg,Normal_Aorta_and_Aneurysm_Comparison.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (10).png,Aneurysm_Surface_Mesh_Detail.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (2).png,Aorta_CT_Segmentation_View.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (3).png,Aorta_Model_Face_Areas.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (4).png,Aneurysm_Mesh_Statistics.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (5).png,Vessel_Wall_Deformation_Settings.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (6).png,Inlet_and_Outlet_RCR_Boundary_Conditions.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (8).png,Aneurysm_Surface_Mesh_Overview.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Code Files/Capt.txt,Outlet_Compliance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/Res.txt,Outlet_Total_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/ResD.txt,Outlet_Distal_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/ResP.txt,Outlet_Proximal_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/SimVascular_SolverManual.pdf,SimVascular_Solver_Reference_Manual.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/Code Files/calc_resistances.m,Calculate_Outlet_Resistance_Boundary_Conditions.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/caps.txt,Outlet_Cross_Sectional_Areas.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/creatfiles.m,Export_Outlet_Compliance_Table.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/finding_R_p_and_d.m,Calculate_Proximal_Distal_Resistance_and_Compliance.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/mean.m,Calculate_Mean_Inflow_and_Arterial_Pressure.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Displacement.avi,Aneurysm_Wall_Displacement.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamPisoVel.avi,Aneurysm_Laminar_PISO_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamPisoVort.avi,Aneurysm_Laminar_PISO_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVel.avi,Aneurysm_Laminar_SIMPLE_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVelCarraeu.avi,Aneurysm_Laminar_SIMPLE_Carreau_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVelNNPL.avi,Aneurysm_Laminar_SIMPLE_Power_Law_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVort.avi,Aneurysm_Laminar_SIMPLE_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVortCarreau.avi,Aneurysm_Laminar_SIMPLE_Carreau_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVortNNPL.avi,Aneurysm_Laminar_SIMPLE_Power_Law_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Patient_1/README.txt,OSMSC0138_Model_Source_Notes.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Patient_1/Wave Forms/OSMSC0138_InflowWaveform.png,OSMSC0138_Inflow_Waveform.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Picture1.png,Aneurysm_Pressure_Time_Series.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Picture2.png,Aneurysm_Flow_Rate_Time_Series.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Pressure.avi,Aneurysm_Pressure_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/R.png,Aortic_Aneurysm_Reference_Illustration.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/SimVel.avi,Aneurysm_Velocity_Section_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimIntRealKE.avi,Aneurysm_Realizable_k_epsilon_Turbulence_Intensity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimIntSSTKO.avi,Aneurysm_SST_k_omega_Turbulence_Intensity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVelRealKE.avi,Aneurysm_Realizable_k_epsilon_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVelSSTKO.avi,Aneurysm_SST_k_omega_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVortRealKE.avi,Aneurysm_Realizable_k_epsilon_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVortSSTKO.avi,Aneurysm_SST_k_omega_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Velocity.avi,Aneurysm_Velocity_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/WSS.avi,Aneurysm_Wall_Shear_Stress_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/AAA.jpg,Abdominal_Aortic_Aneurysm_Location_Illustration.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/Obed_Report_Midterm.pdf,Aneurysm_Cardiovascular_Fluid_Mechanics_Midterm_Report.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/dw/R.jpg,Blood_Vessel_Reference_Illustration.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/Screen-Shot-2020-01-09-at-5.38.00-PM (1).webp,Aortic_Aneurysm_Reference_Illustration_Web.webp,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/Screen-Shot-2020-01-09-at-5.38.00-PM.webp,Aortic_Aneurysm_Reference_Illustration_Web_Copy.webp,Image/video frame and source context,Identical copy of Abdominal Aneurysm Analysis/Simvascular/dw/Screen-Shot-2020-01-09-at-5.38.00-PM (1).webp
Abdominal Aneurysm Analysis/Simvascular/dw/aneurysm.jpg,Abdominal_Aorta_Anatomical_Reference.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/normally pic.png,Aneurysm_Vessel_Geometry.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/slicr.avi,Aneurysm_Cross_Section_Scalar_Animation.avi,Image/video frame and source context,Scalar field not confidently identified; neutral name retained.
Abdominal Aneurysm Analysis/Simvascular/sss.avi,Aneurysm_Wall_Scalar_Animation.avi,Image/video frame and source context,Scalar field not confidently identified; neutral name retained.
Abdominal Aneurysm Analysis/Simvascular/surface mesh Jacobian O1.png,Aneurysm_Surface_Mesh_Jacobian.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/velocity of walls and outlet.avi,Aneurysm_Wall_and_Outlet_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property in Y.png,Vessel_Wall_Property_Y_Component.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property in x.png,Vessel_Wall_Property_X_Component.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property mag.png,Vessel_Wall_Property_Magnitude.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wss_slice.avi,Aneurysm_Wall_Shear_Stress_Section.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wssfi.avi,Aneurysm_Surface_Wall_Shear_Stress.avi,Image/video frame and source context,Identical copy of Abdominal Aneurysm Analysis/Simvascular/sss.avi
Abdominal Aneurysm Analysis/Simvascular.pdf,Aneurysm_SimVascular_Patient_Specific_Modeling_Report.pdf,Document title/content,
Abdominal Aneurysm Analysis/Stability of Blood Flow in an Idealized Model Aneurysm.pdf,Idealized_Aneurysm_Blood_Flow_Stability_Report.pdf,Document title/content,
Autonomous Vehicle with Infrared Sensor/Circuit.pdf,Autonomous_Vehicle_Electrical_Schematic.pdf,Document title/content,
Autonomous Vehicle with Infrared Sensor/Final Presentation V2.pptx,Autonomous_Vehicle_Infrared_Collision_Avoidance_Presentation_v2.pptx,Document title/content,
Bioreactor /Bioreactor_Circuit.ino,Bioreactor_Temperature_and_Humidity_Controller.ino,Code or archive contents,
Cell Stretcher /Stretcher_V2.ino,Cell_Stretcher_Servo_Controller_v2.ino,Code or archive contents,Identical copy of Enclosed Cell Stretcher/ENCLOUSED_stretcher.ino
Enclosed Cell Stretcher/ENCLOUSED_stretcher.ino,Cell_Stretcher_Servo_Controller_Shared_Copy.ino,Code or archive contents,
Enclosed Cell Stretcher/ES Bottom.pdf,Enclosed_Cell_Stretcher_Bottom_Engineering_Drawing.pdf,Document title/content,
Enclosed Cell Stretcher/ES Top.pdf,Enclosed_Cell_Stretcher_Top_Engineering_Drawing.pdf,Document title/content,
Flow Chamber with Stretching Bottom/Blue_Dye.mov,Stretching_Chamber_Blue_Dye_Experiment.mov,Image/video frame and source context,
Flow Chamber with Stretching Bottom/Blue_Dye_Time_Stack.png,Blue_Dye_Space_Time_Stack.png,Image/video frame and source context,
Flow Chamber with Stretching Bottom/CellShearer_w_StretchingBottom [Autosaved].pptx,Stretching_Bottom_Flow_Chamber_Design_and_Analysis.pptx,Document title/content,
Flow Chamber with Stretching Bottom/Red_Dye.mov,Stretching_Chamber_Red_Dye_Experiment.mov,Image/video frame and source context,
Flow Chamber with Stretching Bottom/Stretcher_MOTORS_SINE.ino,Stretching_Chamber_Sinusoidal_Stepper_Controller.ino,Code or archive contents,
Flow Chamber with Stretching Bottom/Stretching_Bottom_Flow_transverse_direction_v2.m,Stretching_Wall_Transverse_Flow_Profiles_v2.m,Code or archive contents,
Flow Chamber with Stretching Bottom/Theory_Comparison.m,Stretching_Wall_Top_Bottom_ROI_Velocity_Comparison.m,Code or archive contents,
Flow Chamber with Stretching Bottom/intial_dye_tracker.m,Manual_Dye_Front_Tracking_and_Velocity.m,Code or archive contents,
Flow Chamber with Stretching Bottom/intial_dye_travel.png,Dye_Front_Position_vs_Time.png,Image/video frame and source context,
Flow Chamber with Stretching Bottom/velocity_shearstress.m,Stretching_Wall_Longitudinal_Velocity_and_Shear_Stress.m,Code or archive contents,
Hydrogen Bubble Flow Visulization /Electronic System Designed for Hydrogen Bubble Flow Visualization.pdf,Hydrogen_Bubble_Visualization_Electronics_Report.pdf,Document title/content,
Hydrogen Bubble Flow Visulization /HydrogenBubbTech.ino,Hydrogen_Bubble_Pulse_Frequency_Controller.ino,Code or archive contents,
Matlab Simulation of Parllel Imaging with Localized Sensitivity Image Reconstruction Method/PILS_Obed_Dani_Brandon_Matlab_Code.zip,MATLAB_Figure_Sorting_and_Export_Utilities.zip,Code or archive contents,Contains figureSort.m and saveFigures.m only; reconstruction code is not included.
Matlab Simulation of Parllel Imaging with Localized Sensitivity Image Reconstruction Method/Project 2 Presentation.pdf,PILS_Parallel_MRI_Reconstruction_Presentation.pdf,Document title/content,
Mobile Inverted Pendulum/mip.c,Mobile_Inverted_Pendulum_Balance_Controller_Draft.c,Code or archive contents,
PhD Dissertation/Obed_Defense.pptx,Obed_Campos_Dissertation_Defense_2026.pptx,Document title/content,
PhD Dissertation/Obed_Dissertation.pdf,Obed_Campos_PhD_Dissertation_2026.pdf,Document title/content,
Silicone Molder/Code_Molder_Motion_Servo.ino,Silicone_Molder_Servo_Motion_Controller.ino,Code or archive contents,
Silicone Molder/Code_Molder_Motion_Stepper.ino,Silicone_Molder_Stepper_Motion_Controller.ino,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /A1.mp4,Time_SLIP_Tagged_Signal_Animation_A1.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A2.mp4,Time_SLIP_Tagged_Signal_Animation_A2.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A_ISV15_XLpos1_F7.mp4,Time_SLIP_Analysis_ISV15_XLpos1_F7.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A_ISV15_XLpos2_F7.mp4,Time_SLIP_Analysis_ISV15_XLpos2_F7.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /Browse_MRI_Files.m,Browse_and_Load_MRI_DICOM_Cases.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /GUI_VID.m,MRI_Intensity_Profile_Animation.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /Initial Spinal Canal Phantom (SCP).pptx,Spinal_Canal_Phantom_Initial_Design_Presentation.pptx,Document title/content,
Spinal Canal Phantom with TSLIP Analysis /MRIViewer_v3.m,Interactive_MRI_Profile_Viewer_v3.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /Std_WA_ZC_NWA_A-Case_1.mp4,Time_SLIP_Signal_Estimator_Comparison_Case_1.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /Std_WA_ZC_NWA_A-Case_2.mp4,Time_SLIP_Signal_Estimator_Comparison_Case_2.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /TSLIP_Data_Analysis.pptx,Time_SLIP_MRI_Analysis_Results.pptx,Document title/content,
Spinal Canal Phantom with TSLIP Analysis /TSLIP_Image_Analysis.m,Time_SLIP_DICOM_Processing_and_Displacement_Analysis.m,Code or archive contents,
