Original path,Portfolio filename,Review basis,Notes
Abdominal Aneurysm Analysis/Ansys Fluent.pdf,Aneurysm_ANSYS_Fluent_Flow_Model_Comparison.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/036-039_NT010317_660.jpg,Normal_Aorta_and_Aneurysm_Comparison.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (10).png,Aneurysm_Surface_Mesh_Detail.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (2).png,Aorta_CT_Segmentation_View.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (3).png,Aorta_Model_Face_Areas.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (4).png,Aneurysm_Mesh_Statistics.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (5).png,Vessel_Wall_Deformation_Settings.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (6).png,Inlet_and_Outlet_RCR_Boundary_Conditions.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/2022-06-02 (8).png,Aneurysm_Surface_Mesh_Overview.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Code Files/Capt.txt,Outlet_Compliance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/Res.txt,Outlet_Total_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/ResD.txt,Outlet_Distal_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/ResP.txt,Outlet_Proximal_Resistance_Values.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/SimVascular_SolverManual.pdf,SimVascular_Solver_Reference_Manual.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/Code Files/calc_resistances.m,Calculate_Outlet_Resistance_Boundary_Conditions.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/caps.txt,Outlet_Cross_Sectional_Areas.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/creatfiles.m,Export_Outlet_Compliance_Table.m,Code or archive contents,
