Original path,Portfolio filename,Review basis,Notes
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Arudion_Pressure_Reader.m,Four_Channel_Pressure_Data_Analysis.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Paper.pdf,Multichamber_Pulsating_Flow_Device_Publication.pdf,Document title/content,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Plotting_Theory_Dim_Mag_CS_Paper.m,Pulsatile_Flow_Fourier_Model_and_Paper_Figures.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/PumpData/PumpData-DRACO.ino,Pump_Signal_Data_Logger_DRACO.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/PumpData/PumpData.ino,Pump_Signal_Data_Logger.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Quasi_Steady_Shear_Stress_V2.m,Quasi_Steady_Flow_and_Wall_Shear_Model_v2.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Arduino Code/PHC/PHC.ino,Dual_Channel_Pressure_Logger.ino,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/CaliPS.m,Pressure_Sensor_Calibration_Windowed_Samples.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/HISTO.mlx,All_Pressure_Sensor_Histograms.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/HistoPs.mlx,Single_Pressure_Sensor_Histogram_Fit.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/MaxMinPs.mlx,Pressure_Sensor_ADC_Range_Analysis.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/MeasuredGaugePressure.mlx,Hydrostatic_Pressure_Calibration_Workflow.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/P.m,Pressure_Time_Series_Plot.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PHmat.mlx,Atmospheric_Pressure_Sensor_Check.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PressureSingleFile.mlx,Single_Run_Pressure_and_Voltage_Analysis.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/PumpStuff.mlx,Pump_Position_and_Flow_Signal_Plots.mlx,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/STPS.m,Pressure_Data_Sampling_Statistics.m,Code or archive contents,
A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing/Sensors Codes/Matlab Code/calibrationPa.mlx,Pressure_Sensor_Calibration_All_Samples.mlx,Code or archive contents,
APS DFD 2023/APS DFD 2023 Obed Campos.pptx,APS_DFD_2023_Pulsatile_Perfusion_Chamber.pptx,Document title/content,
