Original path,Portfolio filename,Review basis,Notes
APS DFD 2024/Obed Campos DFD 2024.pptx,APS_DFD_2024_Time_SLIP_Spinal_Canal_Drift.pptx,Document title/content,
Spinal Canal Phantom with TSLIP Analysis /A1.mp4,Time_SLIP_Tagged_Signal_Animation_A1.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A2.mp4,Time_SLIP_Tagged_Signal_Animation_A2.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A_ISV15_XLpos1_F7.mp4,Time_SLIP_Analysis_ISV15_XLpos1_F7.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /A_ISV15_XLpos2_F7.mp4,Time_SLIP_Analysis_ISV15_XLpos2_F7.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /Browse_MRI_Files.m,Browse_and_Load_MRI_DICOM_Cases.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /GUI_VID.m,MRI_Intensity_Profile_Animation.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /Initial Spinal Canal Phantom (SCP).pptx,Spinal_Canal_Phantom_Initial_Design_Presentation.pptx,Document title/content,
Spinal Canal Phantom with TSLIP Analysis /MRIViewer_v3.m,Interactive_MRI_Profile_Viewer_v3.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /Std_WA_ZC_NWA_A-Case_1.mp4,Time_SLIP_Signal_Estimator_Comparison_Case_1.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /Std_WA_ZC_NWA_A-Case_2.mp4,Time_SLIP_Signal_Estimator_Comparison_Case_2.mp4,Image/video frame and source context,
Spinal Canal Phantom with TSLIP Analysis /TSLIP_Data_Analysis.pptx,Time_SLIP_MRI_Analysis_Results.pptx,Document title/content,
Spinal Canal Phantom with TSLIP Analysis /TSLIP_Image_Analysis.m,Time_SLIP_DICOM_Processing_and_Displacement_Analysis.m,Code or archive contents,
Spinal Canal Phantom with TSLIP Analysis /figures_temp.pdf,Time_SLIP_Pulse_Sequence_and_Tagged_Signal_Figures.pdf,Document title/content,
