Original path,Portfolio filename,Review basis,Notes
Flow Chamber with Stretching Bottom/Blue_Dye.mov,Stretching_Chamber_Blue_Dye_Experiment.mov,Image/video frame and source context,
Flow Chamber with Stretching Bottom/Blue_Dye_Time_Stack.png,Blue_Dye_Space_Time_Stack.png,Image/video frame and source context,
Flow Chamber with Stretching Bottom/CellShearer_w_StretchingBottom [Autosaved].pptx,Stretching_Bottom_Flow_Chamber_Design_and_Analysis.pptx,Document title/content,
Flow Chamber with Stretching Bottom/Red_Dye.mov,Stretching_Chamber_Red_Dye_Experiment.mov,Image/video frame and source context,
Flow Chamber with Stretching Bottom/Stretcher_MOTORS_SINE.ino,Stretching_Chamber_Sinusoidal_Stepper_Controller.ino,Code or archive contents,
Flow Chamber with Stretching Bottom/Stretching_Bottom_Flow_transverse_direction_v2.m,Stretching_Wall_Transverse_Flow_Profiles_v2.m,Code or archive contents,
Flow Chamber with Stretching Bottom/Theory_Comparison.m,Stretching_Wall_Top_Bottom_ROI_Velocity_Comparison.m,Code or archive contents,
Flow Chamber with Stretching Bottom/intial_dye_tracker.m,Manual_Dye_Front_Tracking_and_Velocity.m,Code or archive contents,
Flow Chamber with Stretching Bottom/intial_dye_travel.png,Dye_Front_Position_vs_Time.png,Image/video frame and source context,
Flow Chamber with Stretching Bottom/velocity_shearstress.m,Stretching_Wall_Longitudinal_Velocity_and_Shear_Stress.m,Code or archive contents,
