Portfolio project,Original folder,File path within folder,Bytes,Portfolio filename,Naming status
Parallel MRI Reconstruction with PILS,Matlab Simulation of Parllel Imaging with Localized Sensitivity Image Reconstruction Method,PILS_Obed_Dani_Brandon_Matlab_Code.zip,1381,MATLAB_Figure_Sorting_and_Export_Utilities.zip,Reviewed portfolio name
Parallel MRI Reconstruction with PILS,Matlab Simulation of Parllel Imaging with Localized Sensitivity Image Reconstruction Method,Project 2 Presentation.pdf,994181,PILS_Parallel_MRI_Reconstruction_Presentation.pdf,Reviewed portfolio name
Enclosed Cell Stretcher,Enclosed Cell Stretcher,ENCLOUSED_stretcher.ino,5798,Cell_Stretcher_Servo_Controller_Shared_Copy.ino,Reviewed portfolio name
Enclosed Cell Stretcher,Enclosed Cell Stretcher,ES Bottom.pdf,1100175,Enclosed_Cell_Stretcher_Bottom_Engineering_Drawing.pdf,Reviewed portfolio name
Enclosed Cell Stretcher,Enclosed Cell Stretcher,ES Top.pdf,1124436,Enclosed_Cell_Stretcher_Top_Engineering_Drawing.pdf,Reviewed portfolio name
Autonomous Vehicle with Infrared Sensing,Autonomous Vehicle with Infrared Sensor,Circuit.pdf,688118,Autonomous_Vehicle_Electrical_Schematic.pdf,Reviewed portfolio name
Autonomous Vehicle with Infrared Sensing,Autonomous Vehicle with Infrared Sensor,Final Presentation V2.pptx,7519479,Autonomous_Vehicle_Infrared_Collision_Avoidance_Presentation_v2.pptx,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Armando MAE 290B Final Project.pdf,2179929,2D_Diffusion_Numerical_Methods_Report.pdf,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/ADI.m,2751,ADI_Diffusion_Solver.m,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/ICone.m,216,Sinusoidal_Initial_Temperature_Field.m,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/Main_Script_290BProj.mlx,1123924,Diffusion_Simulation_and_Error_Comparison.mlx,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/Q.m,495,Time_Dependent_Heat_Source_Sink.m,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/SourceSink.m,433,ADI_Source_Sink_Time_Steps.m,Reviewed portfolio name
2D Unsteady Diffusion,2D Unsteady Diffusion with Heat source:sink,Obed Campos MAE290B Project Scripts/TomAlg.m,1457,Thomas_Tridiagonal_Solver.m,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Arudion_Pressure_Reader.m,1760,Four_Channel_Pressure_Data_Analysis.m,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Paper.pdf,1998792,Multichamber_Pulsating_Flow_Device_Publication.pdf,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Plotting_Theory_Dim_Mag_CS_Paper.m,10909,Pulsatile_Flow_Fourier_Model_and_Paper_Figures.m,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,PumpData/PumpData-DRACO.ino,2472,Pump_Signal_Data_Logger_DRACO.ino,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,PumpData/PumpData.ino,2518,Pump_Signal_Data_Logger.ino,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Quasi_Steady_Shear_Stress_V2.m,1883,Quasi_Steady_Flow_and_Wall_Shear_Model_v2.m,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Arduino Code/Check Arduino Docs Folder.txt,0,,Archive/data output or excluded project — original name retained
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Arduino Code/PHC/PHC.ino,2535,Dual_Channel_Pressure_Logger.ino,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Matlab Code/CaliPS.m,1124,Pressure_Sensor_Calibration_Windowed_Samples.m,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Matlab Code/HISTO.mlx,47772,All_Pressure_Sensor_Histograms.mlx,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Matlab Code/HistoPs.mlx,3372,Single_Pressure_Sensor_Histogram_Fit.mlx,Reviewed portfolio name
Multi-Chamber Pulsating-Flow Device,A Multichamber Pulsating-Flow Device With Optimized Spatial Shear Stress and Pressure for Endothelial Cell Testing,Sensors Codes/Matlab Code/MaxMinPs.mlx,3675,Pressure_Sensor_ADC_Range_Analysis.mlx,Reviewed portfolio name
